customer_id,date,channel,treatment,campaign_id,pre_period_revenue,post_period_revenue,frequency,recency,T,monetary_value,segment,segment_value
C00032,2023-06-24,organic,0,organic_content_boost,408.31773562732576,0.0,2.0,111.0,583.0,337.25,Mid,1
C00009,2023-06-25,organic,0,organic_content_boost,195.58688556591233,87.78592444577377,8.0,411.0,553.0,216.8175,High,2
C00242,2023-06-25,organic,1,organic_content_boost,484.59753879010566,615.4617549514937,6.0,306.0,481.0,309.29833333333335,High,2
C00086,2023-06-26,referral,0,referral_member_get_member,195.0620623178154,397.5544721694124,5.0,199.0,463.0,215.298,Mid,1
C00217,2023-06-26,paid_social,0,paid_acquisition_refresh,299.17515928833984,450.92493835427723,3.0,197.0,595.0,250.96,Mid,1
C00257,2023-06-29,email,1,email_retention_q3,539.2415084221448,3.709960785772345,1.0,37.0,487.0,141.87,Low,0
C00170,2023-07-01,paid_social,1,paid_acquisition_refresh,864.8861030014781,76.9397689695689,6.0,299.0,481.0,194.945,High,2
C00119,2023-07-05,referral,1,referral_member_get_member,186.24627829089715,463.1225150318936,8.0,429.0,500.0,271.63625,High,2
C00197,2023-07-06,organic,0,organic_content_boost,116.04554973288336,944.601548467575,4.0,133.0,447.0,333.2225,Mid,1
C00156,2023-07-10,email,0,email_retention_q3,554.3908229672719,579.8537698048666,8.0,235.0,534.0,248.61375,Mid,1
C00017,2023-07-11,sms,1,sms_flash_sale,467.37662357530337,207.7145818223578,6.0,289.0,492.0,208.0,Mid,1
C00220,2023-07-11,paid_social,1,paid_acquisition_refresh,891.7105352518822,365.49506775719647,7.0,277.0,573.0,219.01714285714283,Mid,1
C00073,2023-07-12,push,0,push_reengagement,944.0297499252972,185.8318610001217,8.0,435.0,489.0,244.1525,High,2
C00099,2023-07-17,organic,0,organic_content_boost,500.7460983453526,0.0,3.0,77.0,532.0,170.9366666666667,Low,0
C00117,2023-07-17,email,0,email_retention_q3,114.45173891992242,798.7041223031488,5.0,308.0,577.0,254.898,Mid,1
C00240,2023-07-17,email,0,email_retention_q3,489.8051665000775,382.272441521865,6.0,317.0,565.0,262.915,Mid,1
C00255,2023-07-19,organic,1,organic_content_boost,158.16196979783976,665.3752836665966,4.0,181.0,484.0,277.0175,Mid,1
C00272,2023-07-22,email,0,email_retention_q3,229.13206183689366,253.47287771330622,5.0,218.0,455.0,152.822,Mid,1
C00057,2023-07-23,push,0,push_reengagement,643.0640756430997,377.4562243105199,6.0,341.0,466.0,332.23,High,2
C00181,2023-07-23,push,0,push_reengagement,120.15632329966617,5.112218145475347,1.0,52.0,469.0,79.49,Low,0
C00082,2023-07-27,push,1,push_reengagement,469.9319669676958,364.4392053219637,8.0,276.0,454.0,253.825,High,2
C00177,2023-07-27,organic,0,organic_content_boost,815.6539365490054,233.68445439091465,6.0,308.0,593.0,267.29833333333335,Mid,1
C00286,2023-07-27,email,0,email_retention_q3,211.6695518886687,71.58526934164142,2.0,161.0,468.0,126.81,Mid,1
C00040,2023-07-29,organic,1,organic_content_boost,471.9233831865118,0.0,4.0,142.0,580.0,222.58,Low,0
C00167,2023-07-29,email,0,email_retention_q3,962.221944351429,408.72791408002104,8.0,313.0,476.0,270.59125,High,2
C00186,2023-07-29,push,1,push_reengagement,103.07640017182581,706.2070489050651,8.0,441.0,457.0,198.1575,High,2
C00261,2023-07-31,organic,0,organic_content_boost,613.3478560993004,4.775293372667953,1.0,5.0,471.0,182.0,Low,0
C00258,2023-08-02,organic,0,organic_content_boost,310.40702812073613,467.00841256933023,4.0,238.0,574.0,261.46,Mid,1
C00229,2023-08-03,organic,0,organic_content_boost,773.6700356869482,0.0,1.0,10.0,491.0,404.28,Low,0
C00250,2023-08-04,sms,0,sms_flash_sale,1167.311620329866,0.060166804360714594,6.0,200.0,526.0,280.77833333333336,Mid,1
C00022,2023-08-06,paid_social,0,paid_acquisition_refresh,473.1637075805799,280.9617111697539,6.0,241.0,448.0,332.1,High,2
C00071,2023-08-09,email,0,email_retention_q3,68.60152606756122,2.6203581207438105,4.0,139.0,566.0,171.8175,Low,0
C00252,2023-08-09,email,1,email_retention_q3,307.197734430178,557.4696347569344,6.0,199.0,492.0,274.665,Mid,1
C00051,2023-08-12,email,0,email_retention_q3,274.3016697532157,589.9343579197164,7.0,384.0,489.0,281.1671428571429,High,2
C00101,2023-08-14,email,1,email_retention_q3,473.96580979689907,0.0,2.0,101.0,496.0,241.825,Mid,1
C00008,2023-08-15,email,0,email_retention_q3,258.84255913951375,10.67222416571983,1.0,65.0,538.0,260.5,Low,0
C00223,2023-08-15,organic,0,organic_content_boost,688.6751634110682,239.1168070707069,7.0,324.0,516.0,294.90000000000003,High,2
C00141,2023-08-21,sms,0,sms_flash_sale,532.4395767460587,399.3992188595936,5.0,298.0,560.0,375.258,Mid,1
C00031,2023-08-27,organic,1,organic_content_boost,406.6898278965435,422.3358251249051,6.0,284.0,550.0,329.855,Mid,1
C00077,2023-08-27,sms,0,sms_flash_sale,323.15648265374,7.143964826306588,1.0,76.0,529.0,313.17,Mid,1
C00147,2023-08-30,paid_social,0,paid_acquisition_refresh,7.305894333601644,0.0,1.0,18.0,528.0,460.35,Low,0
C00188,2023-09-01,organic,0,organic_content_boost,459.9889706056956,0.0,2.0,55.0,518.0,383.305,Low,0
C00096,2023-09-02,sms,1,sms_flash_sale,427.32167032935695,411.4021788505842,7.0,423.0,507.0,289.4142857142857,High,2
C00118,2023-09-05,email,1,email_retention_q3,465.8803341776277,192.7207746951799,6.0,323.0,428.0,245.29,High,2
C00210,2023-09-12,push,1,push_reengagement,0.0,0.0,2.0,42.0,499.0,187.96,Low,0
C00208,2023-09-13,email,0,email_retention_q3,744.626427874224,31.788536793675352,2.0,54.0,471.0,370.185,Mid,1
C00205,2023-09-14,email,0,email_retention_q3,683.4678823849231,19.050602140644703,5.0,137.0,559.0,262.422,Low,0
C00291,2023-09-15,email,0,email_retention_q3,423.0345232840741,347.1325525624308,5.0,288.0,549.0,264.812,Mid,1
C00215,2023-09-17,paid_social,0,paid_acquisition_refresh,436.94850432220295,275.259805801697,5.0,288.0,522.0,244.658,Mid,1
C00038,2023-09-19,email,0,email_retention_q3,530.6244213573183,24.204150122474026,2.0,121.0,483.0,264.225,Mid,1
C00142,2023-09-19,organic,1,organic_content_boost,587.8905453794794,149.45990678638353,7.0,328.0,572.0,219.65857142857143,Mid,1
C00280,2023-09-19,sms,1,sms_flash_sale,7.39637255337115,8.933511829662892,4.0,77.0,607.0,285.635,Low,0
C00110,2023-09-20,sms,0,sms_flash_sale,620.8791363309753,579.7682501295604,5.0,204.0,529.0,280.79799999999994,Mid,1
C00151,2023-09-22,organic,0,organic_content_boost,1327.8516450453576,5.487388188641265,7.0,193.0,563.0,327.2657142857143,Mid,1
C00298,2023-09-23,organic,0,organic_content_boost,378.32029963398895,0.0,3.0,85.0,522.0,349.41333333333336,Low,0
C00095,2023-09-25,organic,1,organic_content_boost,144.60053836985466,435.00684962577395,4.0,197.0,540.0,228.0475,Mid,1
C00153,2023-09-27,email,0,email_retention_q3,477.70504140972236,7.777673890849254,5.0,301.0,514.0,353.894,High,2
C00270,2023-09-28,email,0,email_retention_q3,482.3690903468871,711.8420425085244,4.0,237.0,571.0,341.845,Mid,1
C00262,2023-09-30,paid_social,0,paid_acquisition_refresh,6.85270494307066,0.0,1.0,25.0,533.0,74.68,Low,0
C00189,2023-10-01,paid_social,1,paid_acquisition_refresh,990.3961559740526,94.44696743465006,8.0,230.0,570.0,208.09875,Mid,1
C00135,2023-10-02,sms,0,sms_flash_sale,0.0,11.129658916602637,3.0,94.0,566.0,205.57333333333332,Low,0
C00225,2023-10-03,organic,1,organic_content_boost,783.7282480492415,687.4197252981547,8.0,427.0,554.0,307.09125,High,2
C00238,2023-10-04,organic,0,organic_content_boost,345.26491777514883,0.0,3.0,96.0,500.0,180.64,Low,0
C00087,2023-10-06,push,1,push_reengagement,140.20565805402265,472.81332607224755,5.0,200.0,537.0,336.848,Mid,1
C00166,2023-10-10,email,0,email_retention_q3,3.1845314168610503,7.400142363043355,2.0,89.0,529.0,99.19,Low,0
C00065,2023-10-13,paid_social,0,paid_acquisition_refresh,539.1914756424885,132.1431961834793,8.0,304.0,463.0,258.39375,High,2
C00076,2023-10-15,email,0,email_retention_q3,23.359334892865704,0.0,2.0,104.0,520.0,183.63,Mid,1
C00253,2023-10-15,organic,1,organic_content_boost,314.0906162879219,346.4256514761186,8.0,519.0,519.0,189.0225,High,2
C00293,2023-10-15,push,0,push_reengagement,0.0,0.5217331865753347,4.0,81.0,526.0,227.7525,Low,0
C00168,2023-10-17,push,1,push_reengagement,189.85904020575435,408.9170143718767,8.0,408.0,425.0,241.0,High,2
C00198,2023-10-19,paid_social,0,paid_acquisition_refresh,175.24194572287442,227.259172780327,5.0,289.0,532.0,298.06000000000006,Mid,1
C00196,2023-10-21,push,1,push_reengagement,99.70672775514736,421.1276548486467,5.0,189.0,468.0,197.612,Mid,1
C00138,2023-10-23,sms,0,sms_flash_sale,200.04274479637112,0.0,3.0,119.0,505.0,192.9433333333333,Mid,1
C00267,2023-10-23,push,0,push_reengagement,0.0,0.0,1.0,55.0,517.0,498.09,Mid,1
C00043,2023-10-26,email,1,email_retention_q3,150.03813858884618,9.372863171603692,2.0,169.0,557.0,115.35,Mid,1
C00193,2023-10-30,organic,0,organic_content_boost,404.59052194489175,236.00007419870795,3.0,197.0,473.0,214.4633333333333,Mid,1
C00052,2023-10-31,push,0,push_reengagement,3.1873545132556074,0.0,1.0,31.0,521.0,455.41,Low,0
C00300,2023-10-31,organic,0,organic_content_boost,1.0138752412618366,11.876343927211208,1.0,56.0,482.0,153.48,Low,0
C00062,2023-11-01,referral,0,referral_member_get_member,161.95458390832712,655.2090582894749,5.0,246.0,546.0,228.142,Mid,1
C00200,2023-11-01,paid_social,0,paid_acquisition_refresh,556.2871910090179,3.959338744308236,6.0,244.0,580.0,201.66166666666663,Mid,1
C00021,2023-11-03,paid_social,0,paid_acquisition_refresh,88.2866282470769,948.7963616195991,5.0,285.0,498.0,321.53000000000003,High,2
C00067,2023-11-03,referral,0,referral_member_get_member,603.2070633615048,9.001845640199633,3.0,108.0,459.0,296.45,Mid,1
C00187,2023-11-08,paid_social,0,paid_acquisition_refresh,676.2398982517104,231.31331111605064,7.0,330.0,429.0,264.4842857142857,High,2
C00093,2023-11-11,push,0,push_reengagement,665.3682226083838,7.1382013648239955,3.0,122.0,456.0,379.66,Mid,1
C00026,2023-11-18,referral,1,referral_member_get_member,561.753885476649,164.60666738666757,7.0,377.0,466.0,170.49,High,2
C00163,2023-11-20,referral,0,referral_member_get_member,144.4850966214864,290.3614960219087,8.0,313.0,587.0,222.555,Mid,1
C00143,2023-11-21,email,0,email_retention_q3,412.1987451763733,392.41522052131313,3.0,184.0,419.0,272.2733333333333,Mid,1
C00162,2023-11-21,email,0,email_retention_q3,5.680243417777142,17.85168402072131,2.0,101.0,553.0,332.825,Mid,1
C00064,2023-11-22,email,0,email_retention_q3,0.0,0.0,1.0,52.0,563.0,237.57,Low,0
C00247,2023-11-24,referral,0,referral_member_get_member,305.34087440102024,200.31842158050267,5.0,235.0,433.0,260.316,High,2
C00164,2023-11-25,referral,1,referral_member_get_member,726.1427281210204,536.243599499959,7.0,327.0,494.0,324.5142857142857,High,2
C00274,2023-11-25,email,0,email_retention_q3,407.44906354691557,0.0,7.0,405.0,556.0,245.6142857142857,High,2
C00004,2023-12-02,organic,1,organic_content_boost,408.4294522034746,310.83517360509836,7.0,421.0,552.0,229.49142857142857,High,2
C00237,2023-12-02,referral,1,referral_member_get_member,722.5514908526204,23.377154990458912,5.0,263.0,485.0,175.632,Mid,1
C00090,2023-12-03,email,1,email_retention_q3,708.0963805579414,83.31937300372813,7.0,353.0,578.0,256.82142857142856,Mid,1
C00154,2023-12-03,email,1,email_retention_q3,0.0,0.0,3.0,153.0,542.0,311.9733333333333,Mid,1
C00081,2023-12-04,email,0,email_retention_q3,872.0712042591038,508.2429885081311,5.0,285.0,440.0,347.12600000000003,High,2
C00139,2023-12-04,push,0,push_reengagement,62.187423453547375,462.37463884269204,8.0,350.0,540.0,310.45625,High,2
C00003,2023-12-05,push,1,push_reengagement,238.68123794355157,377.566261325182,7.0,407.0,491.0,288.1328571428572,High,2
C00120,2023-12-05,push,0,push_reengagement,1.3618487763711993,7.84844036608135,2.0,97.0,492.0,137.21,Mid,1
C00297,2023-12-05,push,0,push_reengagement,882.4078087386777,0.0,4.0,195.0,509.0,363.6575,Mid,1
C00284,2023-12-06,paid_social,0,paid_acquisition_refresh,283.16876565938094,1.3076418791154438,2.0,90.0,433.0,139.525,Mid,1
C00029,2023-12-07,push,1,push_reengagement,180.93792618156715,443.5006130004165,5.0,280.0,558.0,285.882,Mid,1
C00046,2023-12-08,paid_social,0,paid_acquisition_refresh,0.0,13.357843363202328,2.0,109.0,578.0,251.4,Low,0
C00185,2023-12-09,organic,0,organic_content_boost,0.0,0.0,1.0,10.0,461.0,65.28,Low,0
C00218,2023-12-09,organic,0,organic_content_boost,326.9652812561372,0.0,4.0,190.0,514.0,244.71,Mid,1
C00266,2023-12-09,email,0,email_retention_q3,965.6913627415285,375.266560193092,8.0,315.0,526.0,228.91375,Mid,1
C00213,2023-12-10,paid_social,0,paid_acquisition_refresh,2.124829487180746,3.365831266054347,3.0,73.0,570.0,318.4066666666667,Low,0
C00019,2023-12-11,email,1,email_retention_q3,0.0,12.990313409920564,1.0,41.0,521.0,465.23,Mid,1
C00030,2023-12-11,organic,1,organic_content_boost,316.73265703618614,27.741452812886696,4.0,228.0,518.0,255.8775,Mid,1
C00221,2023-12-13,paid_social,0,paid_acquisition_refresh,408.3850118416735,643.3728267745623,7.0,258.0,487.0,246.89857142857144,Mid,1
C00204,2023-12-14,push,0,push_reengagement,307.34030387479925,18.373866754875202,3.0,215.0,529.0,180.46666666666667,Mid,1
C00113,2023-12-15,sms,0,sms_flash_sale,0.8869805731847022,0.0,3.0,81.0,550.0,275.79,Low,0
C00072,2023-12-16,paid_social,1,paid_acquisition_refresh,423.36588757371106,836.4464668765905,6.0,282.0,499.0,359.46166666666664,High,2
C00175,2023-12-16,email,0,email_retention_q3,0.0,0.0,4.0,192.0,580.0,207.0975,Mid,1
C00230,2023-12-17,sms,0,sms_flash_sale,693.971355562524,0.0,5.0,144.0,488.0,335.836,Mid,1
C00053,2023-12-18,paid_social,1,paid_acquisition_refresh,587.8990633036677,218.4298502148637,8.0,439.0,555.0,266.82875,High,2
C00276,2023-12-18,paid_social,0,paid_acquisition_refresh,3.677915462141868,2.294817154636063,4.0,126.0,565.0,95.5375,Low,0
C00069,2023-12-20,email,0,email_retention_q3,0.9398679374305223,5.484279208297995,2.0,46.0,589.0,221.905,Low,0
C00123,2023-12-20,email,0,email_retention_q3,2.100942993624687,23.826022826840735,2.0,97.0,532.0,419.48,Mid,1
C00108,2023-12-21,sms,1,sms_flash_sale,103.64664197246391,499.02453181288956,8.0,373.0,535.0,345.12,High,2
C00289,2023-12-21,email,0,email_retention_q3,1.8942130172919722,7.5624816362980605,4.0,181.0,566.0,239.295,Mid,1
C00075,2023-12-23,paid_social,1,paid_acquisition_refresh,0.0,0.0,3.0,147.0,535.0,280.65333333333336,Mid,1
C00275,2023-12-26,organic,0,organic_content_boost,0.0,4.633698060326869,1.0,72.0,498.0,345.04,Mid,1
C00281,2023-12-28,email,1,email_retention_q3,514.3940393575296,102.6494917104464,6.0,263.0,498.0,277.16333333333336,Mid,1
C00283,2023-12-30,email,1,email_retention_q3,670.3658897464973,23.34786862924796,4.0,254.0,537.0,189.2025,Mid,1
C00234,2023-12-31,email,0,email_retention_q3,0.0,4.788755385204616,3.0,153.0,584.0,194.86333333333332,Mid,1
C00251,2023-12-31,email,1,email_retention_q3,8.236969988016646,12.05959804057945,2.0,70.0,557.0,117.19,Low,0
C00184,2024-01-01,organic,0,organic_content_boost,0.194566034507299,10.258368428852387,1.0,45.0,516.0,228.49,Low,0
C00202,2024-01-01,push,1,push_reengagement,255.84826976961236,215.8566574666567,5.0,312.0,449.0,248.902,High,2
C00054,2024-01-02,referral,0,referral_member_get_member,207.37717112447916,298.8573969509953,5.0,247.0,463.0,258.898,Mid,1
C00182,2024-01-02,organic,1,organic_content_boost,778.9565768125243,77.84862041290492,8.0,315.0,528.0,314.99125,High,2
C00020,2024-01-03,paid_social,0,paid_acquisition_refresh,0.0,3.4770845245095696,1.0,48.0,484.0,478.7,Mid,1
C00179,2024-01-03,paid_social,0,paid_acquisition_refresh,1067.8747406119653,0.0,6.0,214.0,470.0,275.89166666666665,Mid,1
C00158,2024-01-05,sms,0,sms_flash_sale,520.9314878605073,17.975945224343146,4.0,269.0,531.0,231.2425,Mid,1
C00114,2024-01-06,email,1,email_retention_q3,488.121041478567,56.33116840168589,7.0,335.0,597.0,417.9614285714286,Mid,1
C00016,2024-01-09,organic,1,organic_content_boost,0.0,0.0,2.0,45.0,497.0,201.47000000000003,Low,0
C00295,2024-01-13,paid_social,1,paid_acquisition_refresh,525.0302393532215,24.986636502685034,6.0,326.0,592.0,195.81833333333336,Mid,1
C00010,2024-01-16,push,0,push_reengagement,322.8538794702315,0.0,4.0,184.0,495.0,353.9125,Mid,1
C00288,2024-01-23,organic,0,organic_content_boost,0.0,6.700792422021898,2.0,69.0,549.0,254.655,Low,0
C00028,2024-01-24,push,1,push_reengagement,2.151506794787766,0.0,3.0,138.0,470.0,211.39666666666668,Mid,1
C00294,2024-01-24,referral,0,referral_member_get_member,142.0885098274124,0.0,3.0,210.0,493.0,280.33666666666664,Mid,1
C00056,2024-01-25,referral,0,referral_member_get_member,469.2338668727512,233.71665901108943,5.0,260.0,477.0,290.558,Mid,1
C00228,2024-01-25,paid_social,0,paid_acquisition_refresh,0.0,12.449473786464456,5.0,195.0,569.0,207.92,Mid,1
C00131,2024-01-28,sms,0,sms_flash_sale,0.0,9.5205365313989,2.0,150.0,493.0,270.555,Mid,1
C00033,2024-01-29,email,0,email_retention_q3,564.4919631594067,0.0,5.0,297.0,534.0,273.964,Mid,1
C00112,2024-01-29,sms,0,sms_flash_sale,1.597001318956144,5.872591668027923,3.0,149.0,530.0,160.45000000000002,Mid,1
C00157,2024-01-30,push,0,push_reengagement,4.654191131752647,0.9903482100720091,3.0,99.0,500.0,144.23666666666665,Low,0
C00133,2024-01-31,organic,0,organic_content_boost,426.171807778156,163.67643987613855,5.0,283.0,495.0,244.696,Mid,1
C00078,2024-02-03,organic,0,organic_content_boost,0.0,0.0,2.0,77.0,503.0,392.085,Mid,1
C00125,2024-02-03,email,0,email_retention_q3,285.0454260062408,8.16775867200791,7.0,246.0,476.0,319.37,Mid,1
C00130,2024-02-03,paid_social,0,paid_acquisition_refresh,0.0,3.140772238697992,1.0,20.0,514.0,342.97,Low,0
C00115,2024-02-05,push,0,push_reengagement,112.65218586761277,0.0,3.0,218.0,509.0,135.00666666666666,Mid,1
C00287,2024-02-06,push,0,push_reengagement,1.7010498843416895,0.02993291199955732,2.0,103.0,529.0,259.04,Mid,1
C00128,2024-02-07,referral,1,referral_member_get_member,7.491872201483661,14.140649526439594,5.0,221.0,578.0,295.932,Mid,1
C00227,2024-02-09,paid_social,0,paid_acquisition_refresh,1.4445833358435345,0.0,2.0,132.0,532.0,316.345,Mid,1
C00265,2024-02-10,paid_social,0,paid_acquisition_refresh,150.54513558096707,16.168743984986076,5.0,238.0,514.0,201.858,Mid,1
C00241,2024-02-12,email,0,email_retention_q3,383.6491614987287,5.555820886501248,6.0,272.0,526.0,161.73666666666665,Mid,1
C00259,2024-02-13,email,1,email_retention_q3,0.0,10.89384718235034,4.0,156.0,507.0,388.195,Mid,1
C00269,2024-02-15,email,1,email_retention_q3,0.1730593709262781,11.041240902589632,2.0,92.0,485.0,149.6,Mid,1
C00136,2024-02-21,organic,0,organic_content_boost,0.0,0.0,3.0,108.0,557.0,246.26,Low,0
C00192,2024-02-23,push,1,push_reengagement,508.27726417151723,753.4571345599674,7.0,315.0,496.0,215.00571428571428,High,2
C00268,2024-02-25,organic,0,organic_content_boost,0.0,0.0,1.0,7.0,583.0,361.62,Low,0
C00239,2024-03-03,push,1,push_reengagement,0.0,11.596813989127966,4.0,200.0,533.0,340.915,Mid,1
C00084,2024-03-04,organic,1,organic_content_boost,0.0,4.1696992231785766,2.0,55.0,478.0,301.155,Mid,1
C00244,2024-03-04,organic,0,organic_content_boost,0.0,13.634287120856987,3.0,132.0,462.0,193.99,Mid,1
C00039,2024-03-05,organic,0,organic_content_boost,41.59540104750153,0.0,7.0,367.0,589.0,196.44857142857143,Mid,1
C00191,2024-03-05,paid_social,1,paid_acquisition_refresh,462.28021129294694,35.05459929463229,5.0,237.0,433.0,150.252,Mid,1
C00129,2024-03-07,push,1,push_reengagement,0.0,0.0,2.0,116.0,563.0,431.9500000000001,Mid,1
C00098,2024-03-08,sms,1,sms_flash_sale,631.9532131990167,663.8236487332083,7.0,438.0,505.0,302.5114285714285,High,2
C00025,2024-03-11,paid_social,0,paid_acquisition_refresh,7.166072533030864,2.2307974262527512,4.0,223.0,555.0,251.25,Mid,1
C00243,2024-03-14,push,1,push_reengagement,391.0470670356286,869.6420830463694,8.0,385.0,494.0,283.27875,High,2
C00002,2024-03-16,paid_social,0,paid_acquisition_refresh,591.6049964359563,9.282969915684843,5.0,229.0,434.0,259.134,Mid,1
C00122,2024-03-16,paid_social,0,paid_acquisition_refresh,1.746753112802148,8.358078963143372,4.0,195.0,557.0,282.8175,Mid,1
C00254,2024-03-19,paid_social,0,paid_acquisition_refresh,773.9698431920858,462.96289464883586,8.0,382.0,475.0,270.39375,High,2
C00155,2024-03-20,organic,0,organic_content_boost,5.9386254663096825,10.017453976515071,3.0,122.0,446.0,320.49,Mid,1
C00236,2024-03-20,referral,0,referral_member_get_member,7.941380535746312,0.0,1.0,82.0,556.0,355.25,Mid,1
C00107,2024-03-21,organic,0,organic_content_boost,0.0,0.0,2.0,89.0,508.0,252.965,Mid,1
C00161,2024-03-21,push,1,push_reengagement,255.03377825431642,548.4317261964318,6.0,310.0,423.0,284.8566666666666,High,2
C00079,2024-03-23,organic,0,organic_content_boost,8.055580742498105,2.3544836830993034,2.0,48.0,485.0,167.43,Low,0
C00121,2024-03-23,email,1,email_retention_q3,116.2958489447088,214.7153741524327,8.0,336.0,500.0,274.19,High,2
C00282,2024-03-24,paid_social,0,paid_acquisition_refresh,1.7636008151317153,0.0,2.0,64.0,570.0,392.855,Low,0
C00048,2024-03-27,email,0,email_retention_q3,0.657429084027261,14.550455762707113,5.0,212.0,497.0,296.06800000000004,Mid,1
C00256,2024-03-27,sms,0,sms_flash_sale,6.001531291296608,4.9076670899381885,1.0,38.0,531.0,432.65,Low,0
C00097,2024-03-29,push,0,push_reengagement,0.0,4.711362933999293,5.0,251.0,529.0,341.57800000000003,Mid,1
C00059,2024-03-30,email,0,email_retention_q3,3.3133298519274197,7.068496408990508,2.0,105.0,605.0,367.77,Low,0
C00190,2024-03-30,referral,0,referral_member_get_member,108.33052945961172,0.0,6.0,341.0,540.0,216.55666666666664,High,2
C00074,2024-03-31,email,0,email_retention_q3,1.8172716891953657,0.0,2.0,133.0,522.0,299.53000000000003,Mid,1
C00007,2024-04-05,organic,0,organic_content_boost,0.0,0.0,2.0,71.0,505.0,220.815,Low,0
C00174,2024-04-05,email,1,email_retention_q3,0.0,2.1145530344892336,3.0,107.0,519.0,198.52666666666664,Low,0
C00183,2024-04-05,sms,1,sms_flash_sale,438.3261186944816,95.1541040311275,8.0,368.0,537.0,205.90625,High,2
C00203,2024-04-06,organic,0,organic_content_boost,7.137426418422523,0.0,1.0,75.0,456.0,195.96,Mid,1
C00042,2024-04-07,paid_social,0,paid_acquisition_refresh,1.723226131180262,7.908061216900806,3.0,92.0,463.0,330.67333333333335,Mid,1
C00085,2024-04-07,referral,1,referral_member_get_member,0.0,14.761862127532668,7.0,235.0,497.0,157.13285714285715,Mid,1
C00109,2024-04-09,organic,0,organic_content_boost,0.0,1.6439070297730223,1.0,36.0,483.0,32.76,Low,0
C00222,2024-04-09,email,1,email_retention_q3,203.34704279801483,666.5881487746198,7.0,354.0,432.0,229.96571428571428,High,2
C00014,2024-04-15,email,0,email_retention_q3,0.0,3.330703726182551,3.0,114.0,521.0,395.0533333333333,Mid,1
C00176,2024-04-15,push,1,push_reengagement,4.471066642567047,28.948370867539083,4.0,232.0,556.0,248.93,Mid,1
C00211,2024-04-15,paid_social,0,paid_acquisition_refresh,0.15542793885576392,9.086013598921113,3.0,171.0,485.0,321.09666666666664,Mid,1
C00235,2024-04-16,organic,1,organic_content_boost,0.5127659186313342,10.570813539134209,7.0,276.0,588.0,184.20142857142852,Mid,1
C00173,2024-04-17,push,0,push_reengagement,1.9849565224942,0.0,2.0,74.0,536.0,450.97,Mid,1
